央视频道,#genre#

CCTV-1综合,http://125.71.114.18:4022/udp/239.93.0.184:5140$四川电信
CCTV-2财经,http://125.71.114.18:4022/udp/239.93.1.23:6000$四川电信
CCTV-3综艺,http://125.71.114.18:4022/udp/239.93.1.11:2223$四川电信
CCTV-4中文国际,http://125.71.114.18:4022/udp/239.93.1.105:5140$四川电信
CCTV-5体育,http://125.71.114.18:4022/udp/239.93.42.37:5140$四川电信
CCTV-5+体育赛事,http://125.71.114.18:4022/udp/239.93.1.36:8004$四川电信
CCTV-6电影,http://125.71.114.18:4022/udp/239.93.1.13:2226$四川电信
CCTV-7国防军事,http://125.71.114.18:4022/udp/239.93.1.67:5140$四川电信
CCTV-8电视剧,http://125.71.114.18:4022/udp/239.93.42.39:5140$四川电信
CCTV-9纪录,http://125.71.114.18:4022/udp/239.93.1.24:5140$四川电信
CCTV-10科教,http://125.71.114.18:4022/udp/239.93.1.28:5140$四川电信
CCTV-11戏曲,http://125.71.114.18:4022/udp/239.93.0.102:5140$四川电信
CCTV-12社会与法,http://125.71.114.18:4022/udp/239.93.1.30:8124$四川电信
CCTV-13新闻,http://125.71.114.18:4022/udp/239.93.0.66:5140$四川电信
CCTV-14少儿,http://125.71.114.18:4022/udp/239.93.1.29:6000$四川电信
CCTV-15音乐,http://125.71.114.18:4022/udp/239.93.0.103:5140$四川电信
CCTV-16奥林匹克,http://171.118.210.13:8082/rtp/226.0.2.169:9264$四川电信
CCTV-17农业农村,http://125.71.114.18:4022/udp/239.93.0.92:5140$四川电信

CCTV-1综合,http://125.70.181.206:4000/udp/239.93.0.184:5140$四川电信
CCTV-2财经,http://125.70.181.206:4000/udp/239.93.1.23:6000$四川电信
CCTV-3综艺,http://125.70.181.206:4000/udp/239.93.1.11:2223$四川电信
CCTV-4中文国际,http://125.70.181.206:4000/udp/239.93.1.105:5140$四川电信
CCTV-5体育,http://125.70.181.206:4000/udp/239.93.42.37:5140$四川电信
CCTV-5+体育赛事,http://125.70.181.206:4000/udp/239.93.1.36:8004$四川电信
CCTV-6电影,http://125.70.181.206:4000/udp/239.93.1.13:2226$四川电信
CCTV-7国防军事,http://125.70.181.206:4000/udp/239.93.1.67:5140$四川电信
CCTV-8电视剧,http://125.70.181.206:4000/udp/239.93.42.39:5140$四川电信
CCTV-9纪录,http://125.70.181.206:4000/udp/239.93.1.24:5140$四川电信
CCTV-10科教,http://125.70.181.206:4000/udp/239.93.1.28:5140$四川电信
CCTV-11戏曲,http://125.70.181.206:4000/udp/239.93.0.102:5140$四川电信
